order_number,document_type,received_date_time,vendor_number,location
6750601332,PO,2022/1/26 0:06:45,98053,4874
9050578475,PO,2022/1/25 22:09:34,98053,4874
6100602473,PO,2022/1/25 13:40:52,98053,4817
9050578475,PO,2022/1/25 13:40:49,98053,4874
6600607763,PO,2022/1/25 4:09:34,98053,4874
6600607763,PO,2022/1/25 0:07:16,98053,4874
6600607776,PO,2022/1/24 22:08:54,98053,4874
6600607779,PO,2022/1/24 22:08:54,98053,4873
6600607789,PO,2022/1/24 22:08:51,98053,4874
6600607775,PO,2022/1/24 22:08:47,98053,4802
6100602473,PO,2022/1/24 13:41:24,98053,4817
6600607754,PO,2022/1/24 4:18:00,98053,4802
6600607786,PO,2022/1/24 4:18:00,98053,4819
6600607779,PO,2022/1/24 4:17:59,98053,4873
6600607568,PO,2022/1/24 4:17:58,98053,4873
6600607611,PO,2022/1/24 4:17:58,98053,4819
6600607763,PO,2022/1/24 4:17:57,98053,4874
6600607775,PO,2022/1/24 4:17:57,98053,4802
6600607767,PO,2022/1/24 4:17:55,98053,4873
6600607776,PO,2022/1/24 4:17:54,98053,4874
6600607789,PO,2022/1/24 4:17:52,98053,4874
6600605981,PO,2022/1/24 1:18:55,98053,4874
6600605982,PO,2022/1/24 1:18:54,98053,4874