渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028887303,10581890191,,1098,雀巢脆香牛奶燕麦片绿茶味180g,,1,1028887303YK,,,,,,2021/12/08,22.5670,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,12274250358,12501675,1098,雀巢咖啡特调果萃系列热情百香果风味即溶咖啡饮品@10(5x15g)CN,Coffee,1,1028887303YK,56.924000,0.000000,70.00,0.0000,0.0000,2021/12/08,7.9100,7.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12314539036,12500242,1098,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,2,1028887303YK,453.376991,-23.808769,293.40,0.0000,0.049894,2021/12/08,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887303,11631130977,12430466,1098,雀巢（Nestle）金牌挂耳咖啡 手冲大师 深度烘焙 45g,Coffee,1,1028887303YK,146.376000,0.000000,180.00,0.0000,0.0000,2021/12/08,16.9500,15.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12174531188,12456722,1098,雀巢(Nestle) 学生奶粉 6-15岁爱思培 青少年 益护因子 益生菌 盒装350g,Dairy,1,1028887303YK,374.886639,0.001439,461.00,0.0000,-0.000004,2021/12/08,43.4110,38.416667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,638040027,12408055,1098,雀巢全脂高钙奶粉（调制乳粉）900g/罐,Dairy,2,1028887303YK,870.121121,-0.002879,535.00,0.0000,0.000003,2021/12/08,100.7580,89.166667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,103635812,12495343,1098,雀巢 咖啡伴侣 400g,Coffee,1,1028887303YK,258.597600,0.000000,318.00,0.0000,0.0000,2021/12/08,29.9450,26.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12232655239,12462280,1098,雀巢金牌手冲大师南意·夏浓研磨咖啡63g,Coffee,1,1028887303YK,315.524479,0.002879,388.00,0.0000,-0.000009,2021/12/08,36.5370,32.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11025951620,12404815,1098,雀巢咖啡特调果萃系列椰香凤梨风味即溶咖啡饮品120g,Coffee,12,1028887303YK,985.598400,0.000000,101.00,0.0000,0.0000,2021/12/08,11.4130,10.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,140159806,12077571,1098,雀巢咖啡礼盒醇品200g+咖啡伴侣400g,Coffee,25,1028887303YK,11897.151982,-626.128018,616.00,0.0000,0.049997,2021/12/08,110.2130,102.666667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887303,124235753,12417587,1098,雀巢优麦 3合1即食牛奶燕麦片400g(10袋x40g),Dairy,1,1028887303YK,269.170639,0.001439,331.00,0.0000,-0.000005,2021/12/08,23.3770,20.6875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11663157286,,1098,雀巢1+2原味60条15g*60,,2,1028887303YK,,,,,,2021/12/08,55.2290,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,12207432889,,1098,雀巢咖啡金牌手冲大师研磨礼盒,,29,1028887303YK,,,,,,2021/12/08,116.1080,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,10595719440,12512172,1098,雀巢全脂高钙奶粉375g,Dairy,1,1028887303YK,402.534000,0.000000,495.00,0.0000,0.0000,2021/12/08,31.0750,27.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11503110098,12424790,1098,雀巢蜂蜜脆谷乐营养谷物食品300g,CPW,2,1028887303YK,382.204000,0.000000,235.00,0.0000,0.0000,2021/12/08,26.5550,23.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,193290839,12417445,1098,雀巢优麦燕麦配方麦片500g,Dairy,2,1028887303YK,401.720800,56.924000,212.00,0.0000,-0.165094,2021/12/08,27.9110,21.20,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887303,12317000385,12495107,1098,雀巢金牌厚乳风味拿铁条装即溶咖啡饮品95g,Coffee,2,1028887303YK,196.794400,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12316195422,12495109,1098,雀巢金牌香草风味玛奇朵条装即溶咖啡饮品95g,Coffee,2,1028887303YK,196.794400,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12314345846,12495121,1098,雀巢咖啡5杯装 绵醇卡布奇诺口味 95g,Coffee,2,1028887303YK,196.794400,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,144750705,12453277,1098,雀巢(NESTLE)金 牌GOLD 瑞士原装进口 进口速溶咖啡50g,Coffee,2,1028887303YK,700.981279,0.002879,431.00,0.0000,-0.000004,2021/12/08,40.5860,35.916667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,10733404801,12453381,1098,雀巢金牌咖啡至雅柔和100g,Coffee,2,1028887303YK,1266.968479,0.002879,779.00,0.0000,-0.000002,2021/12/08,73.3560,64.916667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,10733404801,12362972,1098,雀巢金牌咖啡至雅柔和100g,Coffee,2,1028887303YK,1266.968479,0.002879,779.00,0.0000,-0.000002,2021/12/08,73.3560,64.916667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,124232772,12483915,1098,雀巢(Nestle)怡养健心中老年奶粉400g,Dairy,2,1028887303YK,868.497600,0.000000,534.00,0.0000,0.0000,2021/12/08,50.2850,44.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,140159528,,1098,雀巢金牌法式烘焙咖啡礼盒150g,,4,1028887303YK,,,,,,2021/12/08,168.9350,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,103635916,12498475,1098,雀巢（Nestle）醇品 速溶 黑咖啡 无蔗糖 冲调饮料 瓶装 50g,Coffee,3,1028887303YK,481.823159,-1.217641,198.00,0.0000,0.002521,2021/12/08,18.5980,16.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,124127666,12477189,1098,雀巢咖啡1+2原味15g*30,Coffee,3,1028887303YK,925.096320,11.545920,379.05,0.05,0.002236,2021/12/08,35.7080,31.5875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12232655224,12462258,1098,雀巢金牌手冲大师富士·雅酌研磨咖啡63g,Coffee,3,1028887303YK,946.573436,0.008636,388.00,0.0000,-0.000009,2021/12/08,36.5370,32.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11317088726,12419006,1098,雀巢咖啡特调系列桂花板栗风味即溶咖啡饮品15g*8,Coffee,4,1028887303YK,328.532800,0.000000,101.00,0.0000,0.0000,2021/12/08,11.4130,10.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11663158828,,1098,雀巢纤怡果麦萃蜂蜜燕麦口味300g,,3,1028887303YK,,,,,,2021/12/08,31.9700,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,12333409373,12502717,1098,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,Coffee,3,1028887303YK,311.049000,1.219800,127.00,0.0000,-0.003937,2021/12/08,9.6050,8.466667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11663157360,12376638,1098,雀巢NIDO有机全脂奶粉900g,Dairy,4,1028887303YK,5542.771200,0.000000,1704.00,0.0000,0.0000,2021/12/08,160.4600,142.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,11663158121,,1098,雀巢鹰唛炼奶小条装 5X20g,,18,1028887303YK,,,,,,2021/12/08,8.0230,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,617568833,,1098,雀巢怡养金装高纤二合一中老年燕麦片350g,,4,1028887303YK,,,,,,2021/12/08,21.3290,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,134908471,,1098,雀巢可可味滋滋谷物早餐300g,,9,1028887303YK,,,,,,2021/12/08,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,134910653,,1098,雀巢脆谷乐谷物早餐300g,,1,1028887303YK,,,,,,2021/12/08,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,11738016366,12442059,1098,星巴克中度烘焙精品速溶咖啡23克（内含10条）,Coffee,1,1028887303YK,207.396225,0.030225,255.00,0.0000,-0.000146,2021/12/08,36.0240,31.875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,134909486,,1098,雀巢蜂蜜脆谷乐谷物早餐300g,,1,1028887303YK,,,,,,2021/12/08,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,11025951526,,1098,雀巢咖啡特调果萃系列冰甜青苹果风味即溶咖啡饮品88g,,9,1028887303YK,,,,,,2021/12/08,11.4130,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887748,10581890190,,1098,雀巢脆香牛奶燕麦片紫薯红豆味180g,,1,1028887748YK,,,,,,2021/12/08,22.5670,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887748,12316196118,12498226,1098,雀巢爱思培学生力跃奶粉350g,Dairy,1,1028887748YK,356.181600,-18.703600,461.00,0.0000,0.049892,2021/12/08,41.2450,38.416667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887748,12232646300,12462259,1098,雀巢金牌手冲大师北寻·浅光研磨咖啡63g,Coffee,1,1028887748YK,315.524479,0.002879,388.00,0.0000,-0.000009,2021/12/08,36.5370,32.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887748,11631131058,12430465,1098,雀巢（Nestle) 金牌挂耳咖啡 手冲大师 中度烘焙 45g,Coffee,1,1028887748YK,146.376000,0.000000,180.00,0.0000,0.0000,2021/12/08,16.9500,15.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887748,12274147641,12501697,1098,雀巢咖啡特调果萃系列沁风桃桃风味即溶咖啡饮品@10(5x15g)CN,Coffee,2,1028887748YK,113.848000,0.000000,70.00,0.0000,0.0000,2021/12/08,7.9100,7.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887748,12174291489,12461587,1098,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,2,1028887748YK,731.880000,0.000000,450.00,0.0000,0.0000,2021/12/08,42.3750,37.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887748,12279129751,12496119,1098,雀巢怡养益护因子中老年奶粉1400g,Dairy,8,1028887748YK,2273.707200,-139.870400,371.00,0.0000,0.057951,2021/12/08,131.6450,123.666667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887748,12312533118,12342368,1098,雀巢金牌甄选浓郁速溶咖啡80g,Coffee,1,1028887748YK,675.764882,-0.004318,831.00,0.0000,0.000006,2021/12/08,39.1260,34.625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12274250354,12501695,1093,雀巢咖啡特调果萃系列香柚莫奇托风味即溶咖啡饮品@10(5x15g)CN,Coffee,1,1028885492YK,54.649919,-2.274081,70.00,0.0000,0.039949,2021/12/08,7.5940,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,11025951526,,1093,雀巢咖啡特调果萃系列冰甜青苹果风味即溶咖啡饮品88g,,1,1028885492YK,,,,,,2021/12/08,11.4130,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028885492,124222834,12368771,1093,雀巢咖啡 睿雅摩卡105g(5条*21g),Coffee,1,1028885492YK,98.397200,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,11272775871,12410248,1093,雀巢蜜奇星营养早餐谷物食品300g,CPW,1,1028885492YK,166.137480,-24.964520,235.00,0.0000,0.130635,2021/12/08,23.0860,23.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,12274147641,12501697,1093,雀巢咖啡特调果萃系列沁风桃桃风味即溶咖啡饮品@10(5x15g)CN,Coffee,1,1028885492YK,54.649919,-2.274081,70.00,0.0000,0.039949,2021/12/08,7.5940,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,638040008,12409362,1093,雀巢怡跃高纤高钙高铁脱脂奶400g/袋,Dairy,1,1028885492YK,414.732000,0.000000,510.00,0.0000,0.0000,2021/12/08,48.0250,42.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12174531188,12456722,1093,雀巢(Nestle) 学生奶粉 6-15岁爱思培 青少年 益护因子 益生菌 盒装350g,Dairy,1,1028885492YK,374.886639,0.001439,461.00,0.0000,-0.000004,2021/12/08,43.4110,38.416667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,10737651795,12481866,1093,雀巢脱脂高钙奶粉袋装400g,Dairy,1,1028885492YK,338.288321,-0.002879,416.00,0.0000,0.000009,2021/12/08,39.1730,34.666667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,11631131058,12430465,1093,雀巢（Nestle) 金牌挂耳咖啡 手冲大师 中度烘焙 45g,Coffee,1,1028885492YK,146.376000,0.000000,180.00,0.0000,0.0000,2021/12/08,16.9500,15.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,10733404801,12453381,1093,雀巢金牌咖啡至雅柔和100g,Coffee,11,1028885492YK,6550.166239,-418.144561,779.00,0.0000,0.060007,2021/12/08,68.9540,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,12333409373,,1093,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,,9,1028885492YK,,,,,,2021/12/08,9.6050,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028885492,12199333158,12328809,1093,雀巢鷹嘜奶酱浓情太妃味听装350g,Dairy,3,1028885492YK,1407.696697,0.047497,577.00,-0.024686,-0.004810,2021/12/08,13.5840,12.020833,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,134997033,12480459,1093,雀巢咖啡1+2无蔗糖添加双豆拼配条装即溶咖啡77g(新口味7条x11g),Coffee,1,1028885492YK,101.653598,0.003598,125.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,193290837,12293902,1093,雀巢优麦紫薯香芋牛奶燕麦片 350g,Dairy,1,1028885492YK,269.170639,0.001439,331.00,0.0000,-0.000005,2021/12/08,23.3770,20.6875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12314539036,12500242,1093,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,3,1028885492YK,680.065487,-35.713153,293.40,0.0000,0.049894,2021/12/08,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,124232772,12483915,1093,雀巢(Nestle)怡养健心中老年奶粉400g,Dairy,2,1028885492YK,842.434900,-26.062700,534.00,0.0000,0.030009,2021/12/08,48.7760,44.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,12282378505,12467135,1093,雀巢鹰唛炼奶芝士味100g,Dairy,1,1028885492YK,162.645757,0.005757,200.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12232655239,12462280,1093,雀巢金牌手冲大师南意·夏浓研磨咖啡63g,Coffee,2,1028885492YK,631.048957,0.005757,388.00,0.0000,-0.000009,2021/12/08,36.5370,32.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,10733404800,12453276,1093,雀巢金牌咖啡至醇浓郁100g,Coffee,2,1028885492YK,1190.939316,-76.026284,779.00,0.0000,0.060007,2021/12/08,68.9540,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,12282378529,12467155,1093,雀巢鹰唛奶酱太妃味100g,Dairy,1,1028885492YK,162.645757,0.005757,200.00,0.0000,-0.000035,2021/12/08,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,124127666,12477189,1093,雀巢咖啡1+2原味15g*30,Coffee,2,1028885492YK,616.730880,-32.202720,399.00,0.0000,0.049624,2021/12/08,35.7080,33.25,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,10557275819,12338778,1093,雀巢NIDO脱脂高钙奶粉袋装400g,Dairy,1,1028885492YK,675.764882,-0.004318,831.00,0.0000,0.000006,2021/12/08,39.1260,34.625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12314345846,12495121,1093,雀巢咖啡5杯装 绵醇卡布奇诺口味 95g,Coffee,3,1028885492YK,295.191600,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,11503110098,12424790,1093,雀巢蜂蜜脆谷乐营养谷物食品300g,CPW,3,1028885492YK,573.306000,0.000000,235.00,0.0000,0.0000,2021/12/08,26.5550,23.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,103635916,12498475,1093,雀巢（Nestle）醇品 速溶 黑咖啡 无蔗糖 冲调饮料 瓶装 50g,Coffee,3,1028885492YK,481.823159,-1.217641,198.00,0.0000,0.002521,2021/12/08,18.5980,16.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,104431708,12495353,1093,雀巢（Nestle）咖啡伴侣瓶装200g,Coffee,3,1028885492YK,446.459754,0.012954,183.00,0.0000,-0.000029,2021/12/08,17.2330,15.25,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12174291489,12461587,1093,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,3,1028885492YK,1097.820000,0.000000,450.00,0.0000,0.0000,2021/12/08,42.3750,37.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,11663158711,12245095,1093,雀巢玉米片150g,CPW,2,1028885492YK,282.155932,-26.860068,190.00,0.0000,0.086921,2021/12/08,10.8910,10.555556,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028885492,12316195422,12495109,1093,雀巢金牌香草风味玛奇朵条装即溶咖啡饮品95g,Coffee,4,1028885492YK,393.588800,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,103724689,12368832,1093,雀巢咖啡 馆藏系列 丝滑拿铁100g(5条x20g),Coffee,4,1028885492YK,393.588800,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,191291942,12326607,1093,雀巢金牌丝滑拿铁条装即溶咖啡饮品(20x20g),Coffee,3,1028885492YK,1427.178954,0.012954,585.00,0.0000,-0.000009,2021/12/08,41.3160,36.5625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12312533118,12342368,1093,雀巢金牌甄选浓郁速溶咖啡80g,Coffee,2,1028885492YK,1351.529764,-0.008636,831.00,0.0000,0.000006,2021/12/08,39.1260,34.625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,12317000385,12495107,1093,雀巢金牌厚乳风味拿铁条装即溶咖啡饮品95g,Coffee,5,1028885492YK,491.986000,0.000000,121.00,0.0000,0.0000,2021/12/08,13.6730,12.10,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,135000912,12326620,1093,雀巢咖啡 馆藏系列 臻享白咖啡580g(20条x29g),Coffee,4,1028885492YK,1902.905272,0.017272,585.00,0.0000,-0.000009,2021/12/08,41.3160,36.5625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028885492,134909486,,1093,雀巢蜂蜜脆谷乐谷物早餐300g,,1,1028885492YK,,,,,,2021/12/08,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028885492,11738016413,12441219,1093,星巴克深度烘焙精品速溶咖啡23克（内含10条）,Coffee,1,1028885492YK,207.286839,-0.079161,255.00,0.0000,0.000382,2021/12/08,36.0050,31.875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888799,12341876201,,,雀巢脆脆鲨混合口味大礼包374g,,12,1028888799YK,,,,,,2021/12/08,32.0690,,,,,,,"指定送货日
产品编码有误","客户网站交货日期不符合车期
客户网站产品编码无法通过信息表mapping出雀巢产品",
01 NKA,家乐福,2021/12/06,1028887300,12124154262,12457562,1098,雀巢脆脆鲨鲨明治巧克力味威化饼干小粒装77g,Confec.,1,1028887300YK,55.294721,-0.002879,68.00,0.0000,0.000052,2021/12/08,6.4030,5.666667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887300,11684452689,12458252,1098,雀巢威化散装JLF1,Confec.,3,1028887300YK,712.363200,0.000000,292.00,0.0000,0.0000,2021/12/08,65.9920,58.40,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887300,12278689676,12484743,1098,雀巢脆脆鲨鲨可棒巧克力味注心饼干60g,Confec.,1,1028887300YK,89.449121,-0.002879,110.00,0.0000,0.000032,2021/12/08,5.1790,4.583333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887300,12104383426,12451132,1098,雀巢(Nestle)趣满果零食 缤纷杂果 果汁儿童糖果软糖 分享装120g,Confec.,1,1028887300YK,213.130365,0.071965,262.00,0.0000,-0.000338,2021/12/08,12.3400,10.916667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887300,12341876201,,1098,雀巢脆脆鲨混合口味大礼包374g,,34,1028887300YK,,,,,,2021/12/08,32.0690,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887300,171090014,,1098,雀巢脆脆巧倾芯浓情巧克力味180g,,1,1028887300YK,,,,,,2021/12/08,12.1830,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887300,693702634,,1098,雀巢优脆麦谷威化饼干芝士口味144g,,1,1028887300YK,,,,,,2021/12/08,14.8310,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887300,12104383424,12458793,1098,雀巢脆脆鲨鲨刻能榛果味威化代可可脂巧克力(分享装)200g,Confec.,2,1028887300YK,432.622400,-22.769600,280.00,0.0000,0.0500,2021/12/08,15.0290,14.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887300,12310382625,12498720,1098,雀巢脆脆鲨巧克力口味威化代可可脂巧克力分享桶330g,Confec.,5,1028887300YK,717.717366,-22.294634,182.00,0.0000,0.030127,2021/12/08,16.6220,15.166667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887300,146152116,12445531,1098,雀巢趣满果杂果味桶装70g,Confec.,1,1028887300YK,403.375986,0.028786,496.00,0.0000,-0.000071,2021/12/08,7.7850,6.888889,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887300,12340506649,,1098,雀巢脆脆鲨牛奶口味威化代可可脂巧克力480g,,34,1028887300YK,,,,,,2021/12/08,21.8770,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887746,694073547,,1098,雀巢优脆麦谷威化饼干海苔口味144g,,1,1028887746YK,,,,,,2021/12/08,14.8310,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887746,12340505361,,1098,雀巢脆脆鲨巧克力口味威化代可可脂巧克力480g,,34,1028887746YK,,,,,,2021/12/08,21.8770,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028885491,10736481741,,1093,雀巢脆脆鲨混合口味威化代可可脂巧克力新年装375g,,5,1028885491YK,,,,,,2021/12/08,31.0750,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
