渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,家乐福大仓描述,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福-RTD,2022/06/28,1033423281,10109343286,12462167,9995,雀巢咖啡即饮饮料丝滑榛果瓶装268mL,RTD,16,苏宁成都市物流库,1033423281CHRTD,701.528241,63.082929,51.21,0,-0.098807,2022/07/07,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,2022/06/28,1033423281,10109343285,12462187,9995,雀巢咖啡即饮饮料丝滑焦糖瓶装268mL,RTD,20,苏宁成都市物流库,1033423281CHRTD,876.910301,78.853661,51.21,0,-0.098807,2022/07/07,4.2390,3.414,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,2022/06/29,1033438857,10552558343,12462191,9995,雀巢咖啡香滑即饮罐装210mL,RTD,16,苏宁成都市物流库,1033438857CHRTD,1037.871231,127.017599,73.06,0,-0.139449,2022/07/07,3.9196,3.044167,,,,,,"送货日异常
价格差异","送货日异常
不符合价差检查标准",
01 NKA,家乐福-RTD,2022/06/30,1033453418,10745328793,12462291,9996,雀巢咖啡冷萃摩卡风味瓶装280mL,RTD,7,昆山花桥1仓,1033453418YKRTD,562.814436,91.717908,86.37,0,-0.194690,2022/07/06,7.7733,5.758,,,,,,"送货日异常
指定送货日
价格差异","送货日异常
客户网站交货日期不符合车期
不符合价差检查标准",
01 NKA,家乐福-RTD,2022/06/30,1033453418,12294219224,12462186,9996,咖啡丝滑无糖瓶,RTD,1,昆山花桥1仓,1033453418YKRTD,43.845515,3.942683,51.21,0,-0.098807,2022/07/06,4.2390,3.414,,,,,,"送货日异常
指定送货日
价格差异","送货日异常
客户网站交货日期不符合车期
不符合价差检查标准",
01 NKA,家乐福-RTD,2022/06/30,1033453418,10835004207,12516613,9996,雀巢咖啡冷萃美式风味无糖瓶装280mL,RTD,4,昆山花桥1仓,1033453418YKRTD,321.608249,52.410233,86.37,0,-0.194690,2022/07/06,7.7733,5.758,,,,,,"送货日异常
指定送货日
价格差异","送货日异常
客户网站交货日期不符合车期
不符合价差检查标准",